"","genus_spp","n","perc"
"1","Santiria trimera",788,"11.3%"
"2","Scorodophloeus zenkeri",432," 6.2%"
"3","Plagiostyles africana",381," 5.5%"
"4","Dichostemma glaucescens",272," 3.9%"
"5","Scyphocephalium mannii",197," 2.8%"
"6","Hymenostegia pellegrinii",193," 2.8%"
"7","Diogoa zenkeri",176," 2.5%"
"8","Coula edulis",147," 2.1%"
"9","Strombosiopsis tetrandra",136," 2.0%"
"10","Greenwayodendron suaveolens",135," 1.9%"
"11","Musanga cecropioides",131," 1.9%"
"12","Corynanthe macroceras",112," 1.6%"
"13","Pentaclethra eetveldeana",101," 1.5%"
"14","Carapa procera",98," 1.4%"
"15","Distemonanthus benthamianus",94," 1.4%"
"16","Dialium angolense",91," 1.3%"
"17","Coelocaryon preussii",90," 1.3%"
"18","Petersianthus macrocarpus",90," 1.3%"
"19","Gilbertiodendron ogoouense",73," 1.0%"
"20","Heisteria parvifolia",72," 1.0%"
"21","Dacryodes buettneri",66," 0.9%"
"22","Oncoba welwitschii",66," 0.9%"
"23","Panda oleosa",65," 0.9%"
"24","Staudtia kamerunensis",64," 0.9%"
"25","Xylopia aethiopica",64," 0.9%"
